#HydraHarp 400  Histogram Data			07/09/2021 04:48:03 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	4	8	12	16	20	24	28	
#ns/bin
0.0040	0.0040	0.0040	0.0040	0.1280	0.1280	0.1280	0.1280	
#counts
0	0	0	0	0	0	0	3	
0	0	0	0	0	0	2	1	
0	0	0	0	0	1	1	1	
0	0	0	0	1	3	0	2	
0	0	0	0	2	1	1	6	
0	0	0	0	2	5	5	4	
1	2	0	0	1	4	5	4	
0	0	0	0	2	1	1	2	
0	0	0	0	1	1	3	0	
0	1	0	0	1	0	1	0	
0	0	0	0	3	0	0	3	
0	0	0	0	6	3	2	3	
0	0	0	0	0	0	1	1	
1	0	0	0	0	0	0	3	
0	1	0	0	1	0	0	1	
0	0	1	0	0	1	0	3	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	1	1	0	0	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	2	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	
0	0	0	0	3	0	0	3	
0	0	0	0	0	0	1	2	
0	0	0	0	2	0	0	3	
0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	2	
0	1	0	0	2	0	0	0	
0	0	0	0	2	0	2	2	
0	1	0	0	1	1	2	1	
0	0	0	0	1	0	2	1	
